geometry,count,time
"POLYGON ((-78.66548899999999 -163.15592088, -77.55849671333333 -163.15592088, -77.55849671333333 -160.75670172, -78.66548899999999 -160.75670172, -78.66548899999999 -163.15592088))",26,2022-12-27T11:08:33.000Z
"POLYGON ((-78.66548899999999 -160.75670172, -77.55849671333333 -160.75670172, -77.55849671333333 -158.35748256, -78.66548899999999 -158.35748256, -78.66548899999999 -160.75670172))",26,2022-12-27T11:08:33.000Z
"POLYGON ((-78.66548899999999 -158.35748256, -77.55849671333333 -158.35748256, -77.55849671333333 -155.9582634, -78.66548899999999 -155.9582634, -78.66548899999999 -158.35748256))",26,2022-12-27T11:08:33.000Z
"POLYGON ((-78.66548899999999 -155.9582634, -77.55849671333333 -155.9582634, -77.55849671333333 -153.55904424, -78.66548899999999 -153.55904424, -78.66548899999999 -155.9582634))",52,2022-12-27T11:08:33.000Z
"POLYGON ((-78.66548899999999 -153.55904424, -77.55849671333333 -153.55904424, -77.55849671333333 -151.15982508, -78.66548899999999 -151.15982508, -78.66548899999999 -153.55904424))",82,2022-12-27T11:08:33.000Z
"POLYGON ((-78.66548899999999 -151.15982508, -77.55849671333333 -151.15982508, -77.55849671333333 -148.76060592, -78.66548899999999 -148.76060592, -78.66548899999999 -151.15982508))",56,2022-12-27T11:08:08.000Z
"POLYGON ((-78.66548899999999 -148.76060592, -77.55849671333333 -148.76060592, -77.55849671333333 -146.36138676, -78.66548899999999 -146.36138676, -78.66548899999999 -148.76060592))",112,2022-12-27T11:08:08.000Z
"POLYGON ((-78.66548899999999 -146.36138676, -77.55849671333333 -146.36138676, -77.55849671333333 -143.9621676, -78.66548899999999 -143.9621676, -78.66548899999999 -146.36138676))",112,2022-12-27T11:08:08.000Z
"POLYGON ((-78.66548899999999 -143.9621676, -77.55849671333333 -143.9621676, -77.55849671333333 -141.56294844, -78.66548899999999 -141.56294844, -78.66548899999999 -143.9621676))",56,2022-12-27T11:07:44.000Z
"POLYGON ((-78.66548899999999 -141.56294844, -77.55849671333333 -141.56294844, -77.55849671333333 -139.16372928, -78.66548899999999 -139.16372928, -78.66548899999999 -141.56294844))",59,2022-12-26T08:49:47.000Z
"POLYGON ((-78.66548899999999 -139.16372928, -77.55849671333333 -139.16372928, -77.55849671333333 -136.76451012, -78.66548899999999 -136.76451012, -78.66548899999999 -139.16372928))",59,2022-12-26T08:49:47.000Z
"POLYGON ((-78.66548899999999 -136.76451012, -77.55849671333333 -136.76451012, -77.55849671333333 -134.36529096, -78.66548899999999 -134.36529096, -78.66548899999999 -136.76451012))",29,2022-12-26T08:49:22.000Z
"POLYGON ((-78.66548899999999 -134.36529096, -77.55849671333333 -134.36529096, -77.55849671333333 -131.9660718, -78.66548899999999 -131.9660718, -78.66548899999999 -134.36529096))",29,2022-12-26T08:49:22.000Z
"POLYGON ((-78.66548899999999 -131.9660718, -77.55849671333333 -131.9660718, -77.55849671333333 -129.56685264, -78.66548899999999 -129.56685264, -78.66548899999999 -131.9660718))",89,2022-12-26T08:49:22.000Z
"POLYGON ((-78.66548899999999 -129.56685264, -77.55849671333333 -129.56685264, -77.55849671333333 -127.16763348, -78.66548899999999 -127.16763348, -78.66548899999999 -129.56685264))",60,2022-12-26T08:48:57.000Z
"POLYGON ((-78.66548899999999 -127.16763348, -77.55849671333333 -127.16763348, -77.55849671333333 -124.76841432, -78.66548899999999 -124.76841432, -78.66548899999999 -127.16763348))",60,2022-12-26T08:48:57.000Z
"POLYGON ((-78.66548899999999 -124.76841432, -77.55849671333333 -124.76841432, -77.55849671333333 -122.36919516, -78.66548899999999 -122.36919516, -78.66548899999999 -124.76841432))",60,2022-12-26T08:48:57.000Z
"POLYGON ((-78.66548899999999 -122.36919516, -77.55849671333333 -122.36919516, -77.55849671333333 -119.969976, -78.66548899999999 -119.969976, -78.66548899999999 -122.36919516))",30,2022-12-26T08:48:31.000Z
"POLYGON ((-78.66548899999999 -119.969976, -77.55849671333333 -119.969976, -77.55849671333333 -117.57075684, -78.66548899999999 -117.57075684, -78.66548899999999 -119.969976))",30,2022-12-26T08:48:31.000Z
"POLYGON ((-78.66548899999999 -117.57075684, -77.55849671333333 -117.57075684, -77.55849671333333 -115.17153768, -78.66548899999999 -115.17153768, -78.66548899999999 -117.57075684))",60,2022-12-26T08:48:31.000Z
"POLYGON ((-78.66548899999999 -115.17153768, -77.55849671333333 -115.17153768, -77.55849671333333 -112.77231852, -78.66548899999999 -112.77231852, -78.66548899999999 -115.17153768))",30,2022-12-26T08:48:06.000Z
"POLYGON ((-78.66548899999999 -112.77231852, -77.55849671333333 -112.77231852, -77.55849671333333 -110.37309936, -78.66548899999999 -110.37309936, -78.66548899999999 -112.77231852))",30,2022-12-26T08:48:06.000Z
"POLYGON ((-78.66548899999999 -110.37309936, -77.55849671333333 -110.37309936, -77.55849671333333 -107.9738802, -78.66548899999999 -107.9738802, -78.66548899999999 -110.37309936))",60,2022-12-26T08:48:06.000Z
"POLYGON ((-78.66548899999999 -107.9738802, -77.55849671333333 -107.9738802, -77.55849671333333 -105.57466104, -78.66548899999999 -105.57466104, -78.66548899999999 -107.9738802))",30,2022-12-26T08:47:42.000Z
"POLYGON ((-78.66548899999999 -103.17544188, -77.55849671333333 -103.17544188, -77.55849671333333 -100.77622272, -78.66548899999999 -100.77622272, -78.66548899999999 -103.17544188))",30,2022-12-23T05:08:34.000Z
"POLYGON ((-78.66548899999999 -100.77622272, -77.55849671333333 -100.77622272, -77.55849671333333 -98.37700356000001, -78.66548899999999 -98.37700356000001, -78.66548899999999 -100.77622272))",60,2022-12-23T05:08:34.000Z
"POLYGON ((-78.66548899999999 -98.37700356000001, -77.55849671333333 -98.37700356000001, -77.55849671333333 -95.9777844, -78.66548899999999 -95.9777844, -78.66548899999999 -98.37700356000001))",30,2022-12-23T05:08:08.000Z
"POLYGON ((-78.66548899999999 -95.9777844, -77.55849671333333 -95.9777844, -77.55849671333333 -93.57856524, -78.66548899999999 -93.57856524, -78.66548899999999 -95.9777844))",59,2022-12-25T06:29:03.000Z
"POLYGON ((-78.66548899999999 -93.57856524, -77.55849671333333 -93.57856524, -77.55849671333333 -91.17934608, -78.66548899999999 -91.17934608, -78.66548899999999 -93.57856524))",147,2022-12-27T04:35:25.000Z
"POLYGON ((-78.66548899999999 -91.17934608, -77.55849671333333 -91.17934608, -77.55849671333333 -88.78012692000001, -78.66548899999999 -88.78012692000001, -78.66548899999999 -91.17934608))",145,2022-12-27T04:35:25.000Z
"POLYGON ((-78.66548899999999 -88.78012692000001, -77.55849671333333 -88.78012692000001, -77.55849671333333 -86.38090776000001, -78.66548899999999 -86.38090776000001, -78.66548899999999 -88.78012692000001))",175,2022-12-27T04:35:25.000Z
"POLYGON ((-78.66548899999999 -86.38090776000001, -77.55849671333333 -86.38090776000001, -77.55849671333333 -83.98168860000001, -78.66548899999999 -83.98168860000001, -78.66548899999999 -86.38090776000001))",146,2022-12-27T04:35:00.000Z
"POLYGON ((-78.66548899999999 -83.98168860000001, -77.55849671333333 -83.98168860000001, -77.55849671333333 -81.58246944000001, -78.66548899999999 -81.58246944000001, -78.66548899999999 -83.98168860000001))",198,2022-12-27T04:35:00.000Z
"POLYGON ((-78.66548899999999 -81.58246944000001, -77.55849671333333 -81.58246944000001, -77.55849671333333 -79.18325028000001, -78.66548899999999 -79.18325028000001, -78.66548899999999 -81.58246944000001))",200,2022-12-27T04:35:00.000Z
"POLYGON ((-78.66548899999999 -79.18325028000001, -77.55849671333333 -79.18325028000001, -77.55849671333333 -76.78403112000001, -78.66548899999999 -76.78403112000001, -78.66548899999999 -79.18325028000001))",172,2022-12-27T04:34:34.000Z
"POLYGON ((-78.66548899999999 -76.78403112000001, -77.55849671333333 -76.78403112000001, -77.55849671333333 -74.38481196000001, -78.66548899999999 -74.38481196000001, -78.66548899999999 -76.78403112000001))",143,2022-12-27T04:34:34.000Z
"POLYGON ((-78.66548899999999 -74.38481196000001, -77.55849671333333 -74.38481196000001, -77.55849671333333 -71.98559280000001, -78.66548899999999 -71.98559280000001, -78.66548899999999 -74.38481196000001))",200,2022-12-27T04:34:34.000Z
"POLYGON ((-78.66548899999999 -71.98559280000001, -77.55849671333333 -71.98559280000001, -77.55849671333333 -69.58637364000001, -78.66548899999999 -69.58637364000001, -78.66548899999999 -71.98559280000001))",144,2022-12-27T04:34:06.000Z
"POLYGON ((-78.66548899999999 -69.58637364000001, -77.55849671333333 -69.58637364000001, -77.55849671333333 -67.18715448, -78.66548899999999 -67.18715448, -78.66548899999999 -69.58637364000001))",115,2022-12-27T04:34:06.000Z
"POLYGON ((-78.66548899999999 -67.18715448, -77.55849671333333 -67.18715448, -77.55849671333333 -64.78793532, -78.66548899999999 -64.78793532, -78.66548899999999 -67.18715448))",115,2022-12-27T04:34:06.000Z
"POLYGON ((-78.66548899999999 -64.78793532, -77.55849671333333 -64.78793532, -77.55849671333333 -62.38871616000002, -78.66548899999999 -62.38871616000002, -78.66548899999999 -64.78793532))",145,2022-12-27T04:34:06.000Z
"POLYGON ((-78.66548899999999 -62.38871616000002, -77.55849671333333 -62.38871616000002, -77.55849671333333 -59.98949700000001, -78.66548899999999 -59.98949700000001, -78.66548899999999 -62.38871616000002))",60,2022-12-23T05:06:29.000Z
"POLYGON ((-78.66548899999999 -59.98949700000001, -77.55849671333333 -59.98949700000001, -77.55849671333333 -57.59027784000001, -78.66548899999999 -57.59027784000001, -78.66548899999999 -59.98949700000001))",30,2022-12-23T05:06:03.000Z
"POLYGON ((-78.66548899999999 -57.59027784000001, -77.55849671333333 -57.59027784000001, -77.55849671333333 -55.19105868000001, -78.66548899999999 -55.19105868000001, -78.66548899999999 -57.59027784000001))",60,2022-12-23T05:06:03.000Z
"POLYGON ((-78.66548899999999 -55.19105868000001, -77.55849671333333 -55.19105868000001, -77.55849671333333 -52.79183952000001, -78.66548899999999 -52.79183952000001, -78.66548899999999 -55.19105868000001))",60,2022-12-23T05:06:03.000Z
"POLYGON ((-78.66548899999999 -52.79183952000001, -77.55849671333333 -52.79183952000001, -77.55849671333333 -50.39262036000002, -78.66548899999999 -50.39262036000002, -78.66548899999999 -52.79183952000001))",30,2022-12-23T05:05:36.000Z
"POLYGON ((-78.66548899999999 -35.99730540000002, -77.55849671333333 -35.99730540000002, -77.55849671333333 -33.59808624000001, -78.66548899999999 -33.59808624000001, -78.66548899999999 -35.99730540000002))",21,2022-12-26T03:51:26.000Z
"POLYGON ((-78.66548899999999 -33.59808624000001, -77.55849671333333 -33.59808624000001, -77.55849671333333 -31.19886708000001, -78.66548899999999 -31.19886708000001, -78.66548899999999 -33.59808624000001))",21,2022-12-26T03:51:26.000Z
"POLYGON ((-78.66548899999999 148.74256992, -77.55849671333333 148.74256992, -77.55849671333333 151.14178908, -78.66548899999999 151.14178908, -78.66548899999999 148.74256992))",30,2022-12-27T12:48:44.000Z
"POLYGON ((-78.66548899999999 151.14178908, -77.55849671333333 151.14178908, -77.55849671333333 153.54100824, -78.66548899999999 153.54100824, -78.66548899999999 151.14178908))",30,2022-12-27T12:48:44.000Z
"POLYGON ((-78.66548899999999 153.54100824, -77.55849671333333 153.54100824, -77.55849671333333 155.9402274, -78.66548899999999 155.9402274, -78.66548899999999 153.54100824))",60,2022-12-27T12:48:44.000Z
"POLYGON ((-78.66548899999999 155.9402274, -77.55849671333333 155.9402274, -77.55849671333333 158.33944656, -78.66548899999999 158.33944656, -78.66548899999999 155.9402274))",60,2022-12-27T12:48:44.000Z
"POLYGON ((-78.66548899999999 158.33944656, -77.55849671333333 158.33944656, -77.55849671333333 160.73866572, -78.66548899999999 160.73866572, -78.66548899999999 158.33944656))",30,2022-12-27T12:48:18.000Z
"POLYGON ((-78.66548899999999 160.73866572, -77.55849671333333 160.73866572, -77.55849671333333 163.13788488, -78.66548899999999 163.13788488, -78.66548899999999 160.73866572))",60,2022-12-27T12:48:18.000Z
"POLYGON ((-78.66548899999999 163.13788488, -77.55849671333333 163.13788488, -77.55849671333333 165.53710404, -78.66548899999999 165.53710404, -78.66548899999999 163.13788488))",60,2022-12-27T12:48:18.000Z
"POLYGON ((-78.66548899999999 165.53710404, -77.55849671333333 165.53710404, -77.55849671333333 167.9363232, -78.66548899999999 167.9363232, -78.66548899999999 165.53710404))",30,2022-12-27T12:47:50.000Z
"POLYGON ((-78.66548899999999 167.9363232, -77.55849671333333 167.9363232, -77.55849671333333 170.33554236, -78.66548899999999 170.33554236, -78.66548899999999 167.9363232))",30,2022-12-27T12:47:50.000Z
"POLYGON ((-78.66548899999999 170.33554236, -77.55849671333333 170.33554236, -77.55849671333333 172.73476152, -78.66548899999999 172.73476152, -78.66548899999999 170.33554236))",30,2022-12-27T12:47:50.000Z
"POLYGON ((-77.55849671333333 -163.15592088, -76.45150442666666 -163.15592088, -76.45150442666666 -160.75670172, -77.55849671333333 -160.75670172, -77.55849671333333 -163.15592088))",26,2022-12-27T11:08:33.000Z
"POLYGON ((-77.55849671333333 -160.75670172, -76.45150442666666 -160.75670172, -76.45150442666666 -158.35748256, -77.55849671333333 -158.35748256, -77.55849671333333 -160.75670172))",26,2022-12-27T11:08:33.000Z
