geometry,count
"POLYGON ((-78.66548899999999 -179.950455, -77.55849671333333 -179.950455, -77.55849671333333 -177.55123584, -78.66548899999999 -177.55123584, -78.66548899999999 -179.950455))",0
"POLYGON ((-78.66548899999999 -177.55123584, -77.55849671333333 -177.55123584, -77.55849671333333 -175.15201668, -78.66548899999999 -175.15201668, -78.66548899999999 -177.55123584))",0
"POLYGON ((-78.66548899999999 -175.15201668, -77.55849671333333 -175.15201668, -77.55849671333333 -172.75279752, -78.66548899999999 -172.75279752, -78.66548899999999 -175.15201668))",0
"POLYGON ((-78.66548899999999 -172.75279752, -77.55849671333333 -172.75279752, -77.55849671333333 -170.35357836, -78.66548899999999 -170.35357836, -78.66548899999999 -172.75279752))",0
"POLYGON ((-78.66548899999999 -170.35357836, -77.55849671333333 -170.35357836, -77.55849671333333 -167.9543592, -78.66548899999999 -167.9543592, -78.66548899999999 -170.35357836))",0
"POLYGON ((-78.66548899999999 -167.9543592, -77.55849671333333 -167.9543592, -77.55849671333333 -165.55514004, -78.66548899999999 -165.55514004, -78.66548899999999 -167.9543592))",0
"POLYGON ((-78.66548899999999 -165.55514004, -77.55849671333333 -165.55514004, -77.55849671333333 -163.15592088, -78.66548899999999 -163.15592088, -78.66548899999999 -165.55514004))",0
"POLYGON ((-78.66548899999999 -163.15592088, -77.55849671333333 -163.15592088, -77.55849671333333 -160.75670172, -78.66548899999999 -160.75670172, -78.66548899999999 -163.15592088))",26
"POLYGON ((-78.66548899999999 -160.75670172, -77.55849671333333 -160.75670172, -77.55849671333333 -158.35748256, -78.66548899999999 -158.35748256, -78.66548899999999 -160.75670172))",26
"POLYGON ((-78.66548899999999 -158.35748256, -77.55849671333333 -158.35748256, -77.55849671333333 -155.9582634, -78.66548899999999 -155.9582634, -78.66548899999999 -158.35748256))",26
"POLYGON ((-78.66548899999999 -155.9582634, -77.55849671333333 -155.9582634, -77.55849671333333 -153.55904424, -78.66548899999999 -153.55904424, -78.66548899999999 -155.9582634))",52
"POLYGON ((-78.66548899999999 -153.55904424, -77.55849671333333 -153.55904424, -77.55849671333333 -151.15982508, -78.66548899999999 -151.15982508, -78.66548899999999 -153.55904424))",82
"POLYGON ((-78.66548899999999 -151.15982508, -77.55849671333333 -151.15982508, -77.55849671333333 -148.76060592, -78.66548899999999 -148.76060592, -78.66548899999999 -151.15982508))",56
"POLYGON ((-78.66548899999999 -148.76060592, -77.55849671333333 -148.76060592, -77.55849671333333 -146.36138676, -78.66548899999999 -146.36138676, -78.66548899999999 -148.76060592))",112
"POLYGON ((-78.66548899999999 -146.36138676, -77.55849671333333 -146.36138676, -77.55849671333333 -143.9621676, -78.66548899999999 -143.9621676, -78.66548899999999 -146.36138676))",112
"POLYGON ((-78.66548899999999 -143.9621676, -77.55849671333333 -143.9621676, -77.55849671333333 -141.56294844, -78.66548899999999 -141.56294844, -78.66548899999999 -143.9621676))",56
"POLYGON ((-78.66548899999999 -141.56294844, -77.55849671333333 -141.56294844, -77.55849671333333 -139.16372928, -78.66548899999999 -139.16372928, -78.66548899999999 -141.56294844))",59
"POLYGON ((-78.66548899999999 -139.16372928, -77.55849671333333 -139.16372928, -77.55849671333333 -136.76451012, -78.66548899999999 -136.76451012, -78.66548899999999 -139.16372928))",59
"POLYGON ((-78.66548899999999 -136.76451012, -77.55849671333333 -136.76451012, -77.55849671333333 -134.36529096, -78.66548899999999 -134.36529096, -78.66548899999999 -136.76451012))",29
"POLYGON ((-78.66548899999999 -134.36529096, -77.55849671333333 -134.36529096, -77.55849671333333 -131.9660718, -78.66548899999999 -131.9660718, -78.66548899999999 -134.36529096))",29
"POLYGON ((-78.66548899999999 -131.9660718, -77.55849671333333 -131.9660718, -77.55849671333333 -129.56685264, -78.66548899999999 -129.56685264, -78.66548899999999 -131.9660718))",89
"POLYGON ((-78.66548899999999 -129.56685264, -77.55849671333333 -129.56685264, -77.55849671333333 -127.16763348, -78.66548899999999 -127.16763348, -78.66548899999999 -129.56685264))",60
"POLYGON ((-78.66548899999999 -127.16763348, -77.55849671333333 -127.16763348, -77.55849671333333 -124.76841432, -78.66548899999999 -124.76841432, -78.66548899999999 -127.16763348))",60
"POLYGON ((-78.66548899999999 -124.76841432, -77.55849671333333 -124.76841432, -77.55849671333333 -122.36919516, -78.66548899999999 -122.36919516, -78.66548899999999 -124.76841432))",60
"POLYGON ((-78.66548899999999 -122.36919516, -77.55849671333333 -122.36919516, -77.55849671333333 -119.969976, -78.66548899999999 -119.969976, -78.66548899999999 -122.36919516))",30
"POLYGON ((-78.66548899999999 -119.969976, -77.55849671333333 -119.969976, -77.55849671333333 -117.57075684, -78.66548899999999 -117.57075684, -78.66548899999999 -119.969976))",30
"POLYGON ((-78.66548899999999 -117.57075684, -77.55849671333333 -117.57075684, -77.55849671333333 -115.17153768, -78.66548899999999 -115.17153768, -78.66548899999999 -117.57075684))",60
