"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SSH_20231105T133359_20231105T133428_051082_0628EE_4843","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","944","2023-11-05T13:34:28.856585Z","2023-11-05T13:33:59.038Z","SLC","2023-11-05T13:33:59.038Z","2023-11-05T13:34:28.856Z","-68.2693","101.2719","-69.668701","100.212456","-68.298904","105.178665","-68.149506","97.394127","-66.863258","102.201195","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231105T133359_20231105T133428_051082_0628EE_4843.zip","3858.199083328247","","","0","S1A_IWSH_0944_0950_051082_085","","","","","","","","","","",""
"S1A_WV_SLC__1SSV_20231105T130026_20231105T132607_051082_0628EB_397E","Sentinel-1A","C-SAR","WV","Wave Mode. Low data rate and 5 m x 20 m spatial resolution. Sampled images of 20 km x 20 km at 100 km intervals along the orbit. The Wave mode at VV polarization is the default mode for acquiring data over open ocean.","51082","85","541","2023-11-05T13:26:07.792169Z","2023-11-05T13:00:26.946Z","SLC","2023-11-05T13:00:26.946Z","2023-11-05T13:26:07.792Z","15.513","-105.1111","15.584862","-104.998917","15.621647","-105.185333","15.404337","-105.03701","15.441136","-105.223267","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_WV_SLC__1SSV_20231105T130026_20231105T132607_051082_0628EB_397E.zip","9921.896397590637","","","0","S1A_WVSV_0541_0849_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125903_20231105T125924_051082_0628EA_0DD9","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","525","2023-11-05T12:59:24.346843Z","2023-11-05T12:59:03.721Z","SLC","2023-11-05T12:59:03.721Z","2023-11-05T12:59:24.346Z","20.3883","-106.1946","20.792574","-104.862358","21.220697","-107.280243","19.546459","-105.123459","19.977272","-107.520958","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125903_20231105T125924_051082_0628EA_0DD9.zip","5661.8979568481445","","","0","S1A_IWDV_0524_0529_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125838_20231105T125905_051082_0628EA_E565","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","520","2023-11-05T12:59:05.859170Z","2023-11-05T12:58:38.892Z","SLC","2023-11-05T12:58:38.892Z","2023-11-05T12:59:05.859Z","21.6951","-105.9281","22.291603","-104.542473","22.716921","-106.988541","20.66276","-104.885841","21.091475","-107.303093","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125838_20231105T125905_051082_0628EA_E565.zip","7605.472828865051","","","0","S1A_IWDV_0519_0526_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125814_20231105T125841_051082_0628EA_95C0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","515","2023-11-05T12:58:41.032160Z","2023-11-05T12:58:14.063Z","SLC","2023-11-05T12:58:14.063Z","2023-11-05T12:58:41.032Z","23.1935","-105.6251","23.790979","-104.224594","24.213236","-106.699303","22.162508","-104.570564","22.58802","-107.013893","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125814_20231105T125841_051082_0628EA_95C0.zip","7606.569197654724","","","0","S1A_IWDV_0514_0521_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125749_20231105T125816_051082_0628EA_1F03","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","510","2023-11-05T12:58:16.205151Z","2023-11-05T12:57:49.238Z","SLC","2023-11-05T12:57:49.238Z","2023-11-05T12:58:16.205Z","24.695","-105.3428","25.294546","-103.932091","25.711498","-106.426109","23.66675","-104.280609","24.086828","-106.74073","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125749_20231105T125816_051082_0628EA_1F03.zip","7606.929094314575","","","0","S1A_IWDV_0509_0516_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125723_20231105T125751_051082_0628EA_5EE5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","505","2023-11-05T12:57:51.380198Z","2023-11-05T12:57:23.471Z","SLC","2023-11-05T12:57:23.471Z","2023-11-05T12:57:51.380Z","26.2217","-105.0372","26.850725","-103.603905","27.264153","-106.129692","25.166708","-103.968025","25.583214","-106.455818","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125723_20231105T125751_051082_0628EA_5EE5.zip","7860.283618927002","","","0","S1A_IWDV_0504_0511_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125658_20231105T125725_051082_0628EA_1357","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","500","2023-11-05T12:57:25.728911Z","2023-11-05T12:56:58.649Z","SLC","2023-11-05T12:56:58.649Z","2023-11-05T12:57:25.728Z","27.7413","-104.7117","28.345339","-103.260818","28.757475","-105.829788","26.711927","-103.618279","27.126873","-106.147255","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125658_20231105T125725_051082_0628EA_1357.zip","7606.376313209534","","","0","S1A_IWDV_0499_0506_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125633_20231105T125700_051082_0628EA_F286","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","495","2023-11-05T12:57:00.899846Z","2023-11-05T12:56:33.822Z","SLC","2023-11-05T12:56:33.822Z","2023-11-05T12:57:00.899Z","29.2375","-104.3996","29.841955","-102.927261","30.251816","-105.536629","28.20932","-103.289062","28.621819","-105.85527","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125633_20231105T125700_051082_0628EA_F286.zip","7606.6163330078125","","","0","S1A_IWDV_0494_0501_051082_085","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231105T125608_20231105T125636_051082_0628EA_A0EA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51082","85","490","2023-11-05T12:56:36.081060Z","2023-11-05T12:56:08.997Z","SLC","2023-11-05T12:56:08.997Z","2023-11-05T12:56:36.081Z","30.733","-104.0858","31.338028","-102.590523","31.745676","-105.242828","29.705715","-102.957283","30.115818","-105.563065","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231105T125608_20231105T125636_051082_0628EA_A0EA.zip","7606.351358413696","","","0","S1A_IWDV_0489_0496_051082_085","","","","","","","","","","",""
